word,rating,count
world,4.886,123
southern,4.878,41
closer,4.867,83
drool,4.861,36
california,4.86,93
gem,4.857,35
hasn,4.857,56
notch,4.853,34
trust,4.846,52
set,4.833,36
intimidated,4.829,35
heavenly,4.821,56
perfection,4.818,66
preparada,4.818,44
town,4.816,141
words,4.816,76
bacon,4.811,37
wide,4.811,37
holy,4.81,42
lemon,4.81,42
peak,4.8,45
favorites,4.799,204
watering,4.794,34
heaven,4.793,174
midnight,4.787,47
squeezed,4.786,84
reasonably,4.784,74
god,4.779,86
sooo,4.779,68
angeles,4.778,72
lucky,4.776,67
amazingly,4.774,62
delectable,4.774,53
best,4.772,1104
south,4.771,35
hooked,4.765,34
omg,4.762,126
reading,4.762,42
los,4.76,75
mouth,4.76,196
amazing,4.759,1263
soooo,4.758,66
lived,4.756,82
everytime,4.755,53
blended,4.754,57
share,4.754,61
die,4.753,219
orange,4.753,150
socal,4.753,146
medianoche,4.752,141
cal,4.75,52
delightful,4.75,40
boyfriend,4.747,91
incredible,4.747,87
freshly,4.746,67
parisian,4.746,63
reminds,4.744,39
desert,4.743,35
espresso,4.743,35
love,4.741,1777
moves,4.741,259
noche,4.741,58
pickles,4.74,50
awesome,4.739,380
delish,4.739,69
tender,4.739,46
addicting,4.738,42
highly,4.738,183
swiss,4.738,42
samples,4.736,72
affordable,4.735,151
mmm,4.735,34
shake,4.735,34
favorite,4.732,590
tooth,4.732,56
perfectly,4.73,100
flan,4.729,59
fabulous,4.727,44
oven,4.727,44
yum,4.727,198
disappoint,4.723,47
gotta,4.722,54
juice,4.722,115
norcal,4.722,54
delicious,4.721,1504
regret,4.72,50
recommend,4.719,377
bomb,4.717,120
live,4.717,247
muffin,4.717,60
daily,4.714,35
triple,4.714,49
absolute,4.712,52
rolls,4.712,1758
haven,4.71,221
deliciousness,4.708,48
inexpensive,4.708,72
thank,4.707,99
consistent,4.706,34
covered,4.706,34
excellent,4.706,194
fantastic,4.706,180
trip,4.706,204
media,4.705,61
parties,4.705,78
chai,4.702,47
beautiful,4.7,120
helpful,4.7,150
potatoe,4.7,50
tiny,4.7,40
prices,4.697,522
reasonable,4.697,185
kisses,4.696,161
mini,4.696,46
velvet,4.695,190
downside,4.694,49
la,4.694,421
omelette,4.694,36
valley,4.694,72
visit,4.694,343
wonderful,4.694,147
kiss,4.692,52
efficient,4.691,181
seriously,4.691,175
treats,4.691,149
ice,4.69,42
patient,4.69,71
personal,4.689,61
snack,4.688,48
goodies,4.687,195
pies,4.687,364
oh,4.686,363
visiting,4.686,102
dulce,4.685,305
single,4.685,92
deserts,4.684,57
fresh,4.683,597
miami,4.683,63
papa,4.683,41
buttery,4.682,88
green,4.682,44
torta,4.682,157
stop,4.681,401
friendly,4.68,338
absolutely,4.679,221
fast,4.679,629
imagine,4.679,53
tamales,4.679,53
gives,4.676,37
tapatio,4.676,34
lives,4.674,46
puff,4.673,52
quick,4.673,300
beat,4.671,73
worth,4.671,890
cupcakes,4.67,91
melt,4.67,94
croissants,4.669,172
grab,4.669,124
smoothie,4.669,293
bar,4.667,39
breads,4.667,75
diet,4.667,51
everyday,4.667,48
guava,4.667,1439
holiday,4.667,33
sourdough,4.667,33
worry,4.667,42
selection,4.663,181
dozen,4.662,388
danish,4.661,165
horchata,4.661,109
plan,4.661,62
berries,4.66,50
cheese,4.66,3470
city,4.66,47
drive,4.66,212
mashed,4.66,156
wow,4.66,144
bean,4.657,35
croissant,4.657,461
entire,4.657,70
glad,4.656,90
eaten,4.655,84
overwhelming,4.655,55
perfect,4.655,275
filled,4.654,254
plus,4.653,124
thinking,4.652,69
ton,4.651,43
red,4.65,217
desserts,4.649,533
dollar,4.649,37
strudels,4.649,134
airport,4.648,88
goodness,4.648,142
locations,4.648,108
mango,4.648,440
quickly,4.648,395
breakfast,4.647,309
compared,4.647,34
divine,4.647,34
leche,4.647,397
choose,4.646,130
head,4.646,65
muffins,4.646,48
opened,4.646,48
organized,4.646,65
sample,4.646,82
savory,4.646,237
steak,4.646,229
bring,4.644,275
surprise,4.644,45
italian,4.643,56
latte,4.643,126
super,4.642,425
coworkers,4.639,36
great,4.639,1668
sooooo,4.639,36
cubano,4.638,337
soo,4.638,47
mousse,4.637,284
seasoned,4.637,91
sweetness,4.636,55
tres,4.636,220
definitely,4.635,603
looks,4.635,126
oj,4.635,52
hands,4.634,101
tiramisu,4.634,93
