word,rating,count
10minutes,5.0,2
10x,5.0,4
134,5.0,3
1dzn,5.0,4
3500,5.0,2
500,5.0,6
5000,5.0,5
ability,5.0,6
accompanied,5.0,4
accompany,5.0,5
account,5.0,3
address,5.0,3
adopted,5.0,3
adorable,5.0,4
aesthetically,5.0,3
af,5.0,3
affect,5.0,3
aforementioned,5.0,4
ahh,5.0,4
airplane,5.0,3
amaze,5.0,12
amen,5.0,4
angelica,5.0,3
anticipated,5.0,4
app,5.0,6
appropriate,5.0,4
appt,5.0,4
arizona,5.0,8
arm,5.0,7
army,5.0,3
arriving,5.0,6
aspects,5.0,2
asset,5.0,3
assistance,5.0,3
attendees,5.0,2
attract,5.0,2
backing,5.0,2
badger,5.0,2
baguettes,5.0,4
bajillion,5.0,3
ballchicken,5.0,2
ballmeat,5.0,2
ballscheese,5.0,3
ballsfruit,5.0,2
ballsguava,5.0,4
bam,5.0,4
barbara,5.0,3
barista,5.0,3
basics,5.0,3
bbq,5.0,4
bearing,5.0,4
beating,5.0,3
bee,5.0,5
bestest,5.0,3
blank,5.0,3
blends,5.0,3
boerek,5.0,2
boggles,5.0,2
boggling,5.0,2
books,5.0,3
boom,5.0,4
born,5.0,7
boston,5.0,10
bottega,5.0,4
brandy,5.0,3
breath,5.0,5
brilliant,5.0,4
bryan,5.0,3
buddies,5.0,4
bur,5.0,5
busier,5.0,6
bust,5.0,4
bye,5.0,3
cane,5.0,3
carpe,5.0,2
carpool,5.0,3
cart,5.0,4
cat,5.0,2
catches,5.0,2
celebrating,5.0,4
celebrations,5.0,3
chains,5.0,5
challah,5.0,3
chandeliers,5.0,3
charts,5.0,2
chaud,5.0,2
cheers,5.0,4
chees,5.0,2
cheeseroll,5.0,7
choc,5.0,7
chocolatey,5.0,8
cholesterol,5.0,3
church,5.0,4
cilantro,5.0,6
cleaner,5.0,4
clever,5.0,3
client,5.0,3
coating,5.0,6
cocaine,5.0,5
cola,5.0,10
colleagues,5.0,8
collection,5.0,3
commentary,5.0,3
concerned,5.0,3
continuing,5.0,3
conventional,5.0,3
cousins,5.0,3
crackers,5.0,3
crafted,5.0,5
creation,5.0,3
croisant,5.0,3
crossiant,5.0,5
crowed,5.0,4
crown,5.0,3
culture,5.0,3
cumin,5.0,3
da,5.0,12
dan,5.0,4
dancing,5.0,3
dates,5.0,3
dave,5.0,5
dead,5.0,5
debating,5.0,3
decades,5.0,4
defiantly,5.0,4
delectables,5.0,5
delighted,5.0,3
delights,5.0,13
delishious,5.0,3
descriptions,5.0,4
devine,5.0,4
devour,5.0,5
diagnosis,5.0,3
disappeared,5.0,6
disclaimer,5.0,3
dot,5.0,4
doubled,5.0,3
downfall,5.0,8
downy,5.0,6
dreaming,5.0,6
dreamy,5.0,3
drip,5.0,4
drools,5.0,4
drooool,5.0,3
drops,5.0,4
drug,5.0,4
drugs,5.0,3
ducle,5.0,3
ecstasy,5.0,3
effect,5.0,3
el,5.0,7
emailed,5.0,3
endlessly,5.0,3
enticing,5.0,4
equivalent,5.0,3
et,5.0,3
everythings,5.0,3
exaggeration,5.0,4
exceeds,5.0,3
exist,5.0,5
existed,5.0,6
exotic,5.0,3
expedited,5.0,3
explore,5.0,4
extends,5.0,3
extreme,5.0,4
ey,5.0,4
faces,5.0,4
feature,5.0,3
features,5.0,4
fedex,5.0,3
feuille,5.0,3
fifty,5.0,3
filipino,5.0,6
fist,5.0,5
flipping,5.0,3
flowing,5.0,4
foodies,5.0,4
football,5.0,3
fortunate,5.0,6
fulfilling,5.0,5
function,5.0,3
genuinely,5.0,4
gluttonous,5.0,3
gods,5.0,3
gorge,5.0,7
gracious,5.0,4
graduations,5.0,3
grandfather,5.0,3
grandparents,5.0,3
gras,5.0,9
greedy,5.0,3
guards,5.0,3
gun,5.0,4
hahaha,5.0,9
halloween,5.0,5
handles,5.0,4
hardworking,5.0,3
havent,5.0,5
hazelnut,5.0,3
hearts,5.0,3
heavens,5.0,6
hee,5.0,3
heh,5.0,7
herds,5.0,2
hints,5.0,2
hometown,5.0,6
hop,5.0,5
hordes,5.0,3
horizons,5.0,2
horns,5.0,2
horrendous,5.0,4
horse,5.0,4
hotel,5.0,11
hrs,5.0,2
hub,5.0,2
humble,5.0,2
hungover,5.0,4
hunting,5.0,2
hurts,5.0,2
hustling,5.0,2
immaculate,5.0,3
impeccable,5.0,7
impress,5.0,3
indecisive,5.0,5
indulged,5.0,3
industry,5.0,3
inhale,5.0,5
inspiring,5.0,3
internal,5.0,3
irresistible,5.0,3
jk,5.0,6
joseph,5.0,3
judith,5.0,2
justin,5.0,2
keyboard,5.0,3
kicker,5.0,3
king,5.0,15
lamajun,5.0,4
landmark,5.0,5
laptop,5.0,4
league,5.0,3
lean,5.0,3
leeches,5.0,6
leg,5.0,4
legend,5.0,6
leo,5.0,3
liz,5.0,2
loc,5.0,3
loli,5.0,2
lols,5.0,2
longing,5.0,4
looooong,5.0,2
looooove,5.0,3
loooved,5.0,2
louie,5.0,3
luis,5.0,2
ma,5.0,7
macarons,5.0,4
magnificent,5.0,7
maintained,5.0,5
malta,5.0,6
manages,5.0,4
managing,5.0,2
mardi,5.0,8
marketing,5.0,3
marvel,5.0,3
matcha,5.0,3
materva,5.0,3
max,5.0,8
meatballs,5.0,3
medianoches,5.0,3
meets,5.0,3
mehh,5.0,3
memorial,5.0,3
metered,5.0,4
michelle,5.0,2
mighty,5.0,3
mild,5.0,2
milkshake,5.0,3
mindful,5.0,3
minor,5.0,6
mirror,5.0,2
mmmmmmmmm,5.0,3
momma,5.0,4
moon,5.0,5
moral,5.0,3
mr,5.0,3
mutual,5.0,3
nails,5.0,3
napolian,5.0,3
natasha,5.0,3
nation,5.0,3
national,5.0,3
negatives,5.0,3
neglect,5.0,3
noodle,5.0,6
northridge,5.0,3
nuff,5.0,8
oasis,5.0,3
ofcourse,5.0,3
ooh,5.0,4
orgasmic,5.0,8
oriented,5.0,3
outing,5.0,4
outs,5.0,4
owe,5.0,7
owned,5.0,4
pact,5.0,3
pages,5.0,3
painful,5.0,4
painless,5.0,3
pants,5.0,5
papaya,5.0,4
parallel,5.0,2
parfaits,5.0,2
parkings,5.0,3
pasalubong,5.0,2
passenger,5.0,4
pate,5.0,3
patries,5.0,3
payed,5.0,3
pedestrian,5.0,3
perfecto,5.0,2
perk,5.0,3
perks,5.0,2
perla,5.0,2
permit,5.0,3
personality,5.0,3
petals,5.0,3
pickled,5.0,3
pics,5.0,5
pig,5.0,9
plaintains,5.0,4
planned,5.0,4
plans,5.0,5
plated,5.0,3
playing,5.0,3
poppin,5.0,3
population,5.0,4
posts,5.0,4
potluck,5.0,10
pouring,5.0,3
powdered,5.0,3
praise,5.0,3
premises,5.0,4
preservatives,5.0,4
press,5.0,4
processes,5.0,3
promptly,5.0,3
proud,5.0,3
proves,5.0,4
providing,5.0,6
provolone,5.0,3
punch,5.0,3
pushing,5.0,3
qualms,5.0,3
quickness,5.0,3
rachael,5.0,6
radius,5.0,3
rainy,5.0,4
rattle,5.0,3
reaaly,5.0,2
reaching,5.0,3
reaction,5.0,5
realistic,5.0,2
recognized,5.0,2
recomend,5.0,2
recurring,5.0,2
refill,5.0,3
regretting,5.0,3
reiterate,5.0,2
relax,5.0,3
reliably,5.0,2
relief,5.0,2
religious,5.0,3
relish,5.0,3
rellanito,5.0,2
remained,5.0,2
renowned,5.0,3
required,5.0,3
residents,5.0,3
retarded,5.0,2
retrieve,5.0,2
reunion,5.0,2
reveal,5.0,3
ribs,5.0,2
richer,5.0,2
rico,5.0,3
ricotta,5.0,2
rides,5.0,2
rings,5.0,2
rival,5.0,2
roadtrip,5.0,3
rode,5.0,3
rollpotato,5.0,3
rolls2,5.0,3
rolls3,5.0,3
rollscheese,5.0,4
rollsguava,5.0,4
rollspotato,5.0,6
rome,5.0,3
rookie,5.0,5
roses,5.0,3
ruby,5.0,3
rumors,5.0,4
safe,5.0,7
safety,5.0,3
salivation,5.0,4
sammiches,5.0,5
sandwich6,5.0,2
sandwitch,5.0,2
saskia,5.0,2
saves,5.0,3
scan,5.0,3
scone,5.0,3
scout,5.0,3
sells,5.0,4
servings,5.0,6
sets,5.0,4
shavings,5.0,4
shift,5.0,3
shipping,5.0,3
shockingly,5.0,4
showcase,5.0,5
shut,5.0,4
silky,5.0,3
smashed,5.0,5
smootie,5.0,3
soooooooo,5.0,3
sorts,5.0,6
sounded,5.0,8
sp,5.0,5
speechless,5.0,6
spite,5.0,4
spotless,5.0,5
standouts,5.0,3
staples,5.0,12
statement,5.0,3
stranger,5.0,3
strongly,5.0,8
stumble,5.0,3
sudden,5.0,3
suddenly,5.0,4
sunny,5.0,4
surprises,5.0,4
surrounding,5.0,13
survive,5.0,4
sushi,5.0,5
suv,5.0,6
swore,5.0,3
tangy,5.0,9
tartine,5.0,4
tastebuds,5.0,5
tastiness,5.0,4
tax,5.0,3
teeny,5.0,3
thanking,5.0,3
thee,5.0,13
thighs,5.0,5
togethers,5.0,3
torture,5.0,3
totes,5.0,2
tour,5.0,6
towners,5.0,2
trainee,5.0,3
transportation,5.0,2
travelling,5.0,3
tree,5.0,3
trees,5.0,3
truck,5.0,3
trunk,5.0,3
tum,5.0,4
tupperware,5.0,4
turning,5.0,4
twssm,5.0,3
typing,5.0,4
ultimate,5.0,7
umm,5.0,3
unassuming,5.0,3
unbelievably,5.0,5
uncle,5.0,3
underrated,5.0,3
understandable,5.0,3
unforgettable,5.0,3
unheard,5.0,6
unmatched,5.0,2
unprepared,5.0,2
upcoming,5.0,3
upped,5.0,2
urge,5.0,4
utterly,5.0,4
vacay,5.0,3
variation,5.0,3
venture,5.0,4
versailles,5.0,5
vicinity,5.0,4
vision,5.0,5
visitors,5.0,6
waiters,5.0,2
waitresses,5.0,2
waking,5.0,3
wandered,5.0,2
warmth,5.0,3
watchers,5.0,2
wb,5.0,3
weakness,5.0,3
whim,5.0,4
whoa,5.0,5
wilbert,5.0,6
wink,5.0,4
wishing,5.0,5
withdrawal,5.0,3
wonders,5.0,5
wouldnt,5.0,3
wraps,5.0,3
yada,5.0,6
yoga,5.0,2
youll,5.0,3
younger,5.0,3
yummers,5.0,3
yummiest,5.0,4
yummmy,5.0,4
zip,5.0,3
dear,4.947,19
definite,4.947,19
nom,4.947,19
haves,4.944,18
complimentary,4.938,16
deliciously,4.929,14
pounds,4.929,14
provide,4.929,14
ca,4.923,13
circle,4.923,13
ha,4.923,13
rose,4.923,13
inca,4.917,12
waistline,4.917,12
awesomeness,4.909,11
babies,4.909,11
busiest,4.909,11
ends,4.909,11
foodie,4.909,11
happier,4.909,11
meats,4.909,11
shopping,4.909,11
shows,4.909,11
calorie,4.9,10
cesar,4.9,10
croquetas,4.9,10
guave,4.9,10
sammie,4.9,10
tempted,4.9,10
turns,4.9,10
venue,4.9,10
anybody,4.889,9
blame,4.889,9
bliss,4.889,9
establishments,4.889,9
firm,4.889,9
foodgasm,4.889,9
magical,4.889,18
mazing,4.889,9
member,4.889,18
memorize,4.889,9
orgasm,4.889,9
stumbled,4.889,9
traveling,4.889,9
tropical,4.889,9
yumm,4.889,9
yup,4.889,9
world,4.886,123
addictive,4.885,26
northern,4.882,17
runs,4.882,17
southern,4.878,41
8am,4.875,8
accordingly,4.875,8
attentive,4.875,24
burst,4.875,8
comparable,4.875,8
crying,4.875,8
direct,4.875,8
finest,4.875,8
freshness,4.875,8
intended,4.875,8
locals,4.875,8
macaroons,4.875,16
native,4.875,16
petal,4.875,8
prime,4.875,8
season,4.875,8
stays,4.875,8
tears,4.875,8
treasure,4.875,8
uber,4.875,8
mariquitas,4.871,31
closer,4.867,83
happiness,4.867,15
drool,4.861,36
california,4.86,93
2016,4.857,7
adventurous,4.857,7
amazes,4.857,7
beats,4.857,7
bless,4.857,7
ciabatta,4.857,7
clients,4.857,14
countless,4.857,7
cravings,4.857,14
deals,4.857,7
delicioso,4.857,7
delicous,4.857,7
dress,4.857,7
eatery,4.857,14
en,4.857,7
ex,4.857,7
flower,4.857,7
fruity,4.857,14
gain,4.857,14
gem,4.857,35
hasn,4.857,56
ikea,4.857,7
judge,4.857,7
karen,4.857,7
noms,4.857,7
overboard,4.857,7
plethora,4.857,7
popping,4.857,7
props,4.857,7
raised,4.857,7
rock,4.857,14
unbeatable,4.857,7
warning,4.857,7
wrap,4.857,7
notch,4.853,34
swear,4.85,20
types,4.85,20
fam,4.846,13
